code,codeType,from,Synonym_Fr
0504605,CNK,2012-09-01,PHENOBARBITURATE AJMALINE
0504639,CNK,2012-09-01,AL IMPALPABLE                                 PDR.
0504647,CNK,2012-09-01,AL ACETATE
0504662,CNK,2012-09-01,AL ACETYLSALICYLATE
0504688,CNK,2012-09-01,ALUMINIUM (CHLORURE D') HEXAHYDRATE
0504696,CNK,2012-09-01,AL OXYDE HYDRATE
0504712,CNK,2012-09-01,ALUMINIUM HYDROXYDE COLLOIDAL LOURD
0504746,CNK,2012-09-01,AL NITRATE
0504753,CNK,2012-09-01,AL PHOSPHATE
0504761,CNK,2012-09-01,SALICYLATE AL ALCAL.
0504779,CNK,2012-09-01,AL SULFATE 18 H2O
0504795,CNK,2012-09-01,AL TRISILICATE
0504811,CNK,2012-09-01,TANNATE ALBUMINE
0504837,CNK,2012-09-01,ALCHEMILLE COMMUNE                           HERBA
0504845,CNK,2012-09-01,ALCHEMILLE COMMUNE EXTRAIT FLUIDE
0504860,CNK,2012-09-01,BENZYLIQUE ALCOOL
0504878,CNK,2012-09-01,BRULER ALC. METHANOL
0504886,CNK,2012-09-01,CETYLIQUE ALCOOL
0504969,CNK,2012-09-01,CETOSTEARYLIQUE  ALCOOL
0504977,CNK,2012-09-01,CETOSTEARYLIQUE ALCOOL EMULSIFIANT TYPE A
0505040,CNK,2012-09-01,AMINO-4-PYRIDINE
0505065,CNK,2012-09-01,GRAISSE DE LAINE ALC.
0505099,CNK,2012-09-01,ISOPROPYLIQUE ALCOOL
0505123,CNK,2012-09-01,PARFUME ALC.
0505131,CNK,2012-09-01,PHENYLETHYLIQUE ALC.
0505149,CNK,2012-09-01,STEARYLIQUE ALC.
0505164,CNK,2012-09-01,SODIUM ALGINATE
0505206,CNK,2012-09-01,ALLANTOINE
0505313,CNK,2012-09-01,AIL                                          EXTR.
0505321,CNK,2012-09-01,AIL                                         TINCT.
0505347,CNK,2012-09-01,AIL DES OURS
0505370,CNK,2012-09-01,DIALLYLBARBITURIQUE ACID.
0505388,CNK,2012-09-01,ALLOPURINOL
0505396,CNK,2012-09-01,MOUTARDE ESS.
0505438,CNK,2012-09-01,ALOES                                         PDR.
0505487,CNK,2012-09-01,ALOES MORCEAUX POT
0505495,CNK,2012-09-01,ALOES                                        EXTR.
0505511,CNK,2012-09-01,ALOES                                       TINCT.
0505537,CNK,2012-09-01,ALOINE
0505545,CNK,2012-09-01,CHYMOTRYPSINE ALPHA 1000 U./MG
0505610,CNK,2012-09-01,GUIMAUVE                                      FLOS
0505644,CNK,2012-09-01,GUIMAUVE                                      FOL.
0505651,CNK,2012-09-01,GUIMAUVE                                RADIX PDR.
0505669,CNK,2012-09-01,GUIMAUVE                                    RACINE
0505677,CNK,2012-09-01,SUCCIMER
0505685,CNK,2012-09-01,WARFARIN NA
0505693,CNK,2012-09-01,GUIMAUVE                                 EXTR. FL.
0505735,CNK,2012-09-01,ALUN
0505750,CNK,2012-09-01,AUBEPINE                               FOL. + FLOS
0505768,CNK,2012-09-01,ALUN DESSECHE
0505776,CNK,2012-09-01,AMANTADINE HCL
0505792,CNK,2012-09-01,AMFECLORAL
0505834,CNK,2012-09-01,AMFEPRAMONE HCL
0505842,CNK,2012-09-01,DEXAMPHETAMINE
0505859,CNK,2012-09-01,AMFEPRAMONE  RESINATE
0505875,CNK,2012-09-01,AMPHETAMINE
0505883,CNK,2012-09-01,AMPHETAMINE D RESINATE
0505891,CNK,2012-09-01,AMPHETAMINE DL RESINATE
0505909,CNK,2012-09-01,BIPHETAMINE
0505917,CNK,2012-09-01,DEXAMPHETAMINE (SULFATE DE)
0505958,CNK,2012-09-01,NORLEUCINE L
0505966,CNK,2012-09-01,AMPHETAMINE (SULFATE D')
0505974,CNK,2012-09-01,AMPHOCERINE E
0505982,CNK,2012-09-01,AMPHOCERINE K
0505990,CNK,2012-09-01,AMPHETAMINE BITARTRATE
0506006,CNK,2012-09-01,AMPHETAMINE PARACHLOROPHENOXYACETAT
0506014,CNK,2012-09-01,DEXAMPHETAMINE PENTOBARBITAL
0506022,CNK,2012-09-01,AMPHETAMINE PHOSPHATE
0506048,CNK,2012-09-01,AMINOPHENAZONE                                PDR.
0506055,CNK,2012-09-01,AMINOPHENAZONE                              CRIST.
0506063,CNK,2012-09-01,AMINOPHENAZONE                           CO. 250MG
0506071,CNK,2012-09-01,AMINOPHENAZONE                           CO. 500MG
0506089,CNK,2012-09-01,AMIDOPYRINE ISOPROPYLALLYLBARBITAL
0506097,CNK,2012-09-01,AMINOPHENAZONE BARBITAL
0506139,CNK,2012-09-01,AMIDOPYRINE SALICYCATE
0506147,CNK,2012-09-01,AMINOPHYLLINE
0506204,CNK,2012-09-01,AMINONITROTHIAZOL 100%
0506220,CNK,2012-09-01,COCAMIDOPROPYLAMINE OXIDE
0506238,CNK,2012-09-01,AMM. ACETATE                                CRIST.
0506246,CNK,2012-09-01,AMINOREX
0506253,CNK,2012-09-01,AMM. ACETATE SOL.
0506279,CNK,2012-09-01,AMM. BENZOATE
0506287,CNK,2012-09-01,AMMONIUM BICARBONATE
0506303,CNK,2012-09-01,AMM. BROMURE
0506311,CNK,2012-09-01,AMM. CARBONATE
0506329,CNK,2012-09-01,AMMONIUM CHLORURE
0506345,CNK,2012-09-01,AMM. CITRATE
0506360,CNK,2012-09-01,FERRI AMM. CITRATE BRUN
0506378,CNK,2012-09-01,FERRI AMM. CITRATE VERT
0506402,CNK,2012-09-01,AMM. FLUORURE
0506410,CNK,2012-09-01,AMM. IODURE
0506428,CNK,2012-09-01,AMM. MG PHOSPHATE 6 AQ.
0506444,CNK,2012-09-01,AMM. NITRATE
0506485,CNK,2012-09-01,AMM. SULFATE
0506519,CNK,2012-09-01,AMMONIAQUE 17% PB5
0506550,CNK,2012-09-01,AMMONIACALE ANISEE SOL. PB5
0506600,CNK,2012-09-01,AMMONIAQUE GOMME
0506634,CNK,2012-09-01,AMOBARBITAL
0506725,CNK,2012-09-01,AMOBARBITAL NA
0506774,CNK,2012-09-01,AMPICILLINE ANHYDRE
0506782,CNK,2012-09-01,AMPICILLINE 3 AQ.
0506790,CNK,2012-09-01,AMANDE AMERE VERITABLE ESS.
0506816,CNK,2012-09-01,AMYGDALATE CA
0506857,CNK,2012-09-01,AMYLE ACETATE
0506865,CNK,2012-09-01,AMYLE NITRITE
0506873,CNK,2012-09-01,"AMYLE NITRITE AMP. O,5 ML"
0506881,CNK,2012-09-01,AMYLE SALICYLATE
0506907,CNK,2012-09-01,AMYLASE
0506915,CNK,2012-09-01,AMYLOCAINE (CHLORHYDRATE D')
0506923,CNK,2012-09-01,AMIDON DE BLE
0506931,CNK,2012-09-01,AMIDON DE MAIS
0506949,CNK,2012-09-01,AMIDON DE RIZ
0506998,CNK,2012-09-01,ANDROSTANOLONE BENZOATE
0507004,CNK,2012-09-01,ANDROSTANOLONE BENZOATE AMP. 50MG/
0507046,CNK,2012-09-01,ANEMONA PULSATILLE                       EXTR. FL.
0507053,CNK,2012-09-01,ANEMONA PULSATILLE                          TINCT.
0507061,CNK,2012-09-01,ANETHOL
0507079,CNK,2012-09-01,TRITHIOPARAMETHOXYPHENYLPROPENE
0507129,CNK,2012-09-01,ANETH ODORANT FRUIT
0507145,CNK,2012-09-01,ANGELIQUE FRUIT
0507160,CNK,2012-09-01,ANGELIQUE                               RADIX PDR.
0507178,CNK,2012-09-01,ANGELIQUE                                    RADIX
0507194,CNK,2012-09-01,ANGELIQUE                                   TINCT.
0507210,CNK,2012-09-01,CARBONIQUE ANHYDRIDE BONB.
0507228,CNK,2012-09-01,SODIUM ANISATE PENTAHYDRATE
0507236,CNK,2012-09-01,BADIANE                                FRUCT. PDR.
0507244,CNK,2012-09-01,BADIANE                                     FRUCT.
0507251,CNK,2012-09-01,BADIANE ESSENCE
0507277,CNK,2012-09-01,BADIANE                                     TINCT.
0507293,CNK,2012-09-01,ANIS VERT                              FRUCT. PDR.
0507301,CNK,2012-09-01,ANIS VERT                                   FRUCT.
0507319,CNK,2012-09-01,ANIS VERT                                    SPIR.
0507350,CNK,2012-09-01,ANIS VERT                                   TINCT.
0507368,CNK,2012-09-01,ANTAZOLINE HCL
0507418,CNK,2012-09-01,ANTI ASTHMAT. FUMIG. PULV.
0507442,CNK,2012-09-01,APIOL JAUNE
0507459,CNK,2012-09-01,APIOL VERT
0507467,CNK,2012-09-01,APIOL PERL. 200MG
0507475,CNK,2012-09-01,APIOL PERL. 250MG VERT
0507483,CNK,2012-09-01,ACHE                                         RADIX
0507517,CNK,2012-09-01,APOMORPHINE (CHLORHYDRATE D')
0507525,CNK,2012-09-01,APOMORPHINE CHLORHYDRATE 5MG AMP.
0507533,CNK,2012-09-01,APOMORPHINE CHLORHYDRATE 10MG AMP.
0507541,CNK,2012-09-01,EAU PURIFIEE
0507558,CNK,2012-09-01,AQUA BIDIST.                               AMP.1ML
0507566,CNK,2012-09-01,EAU POUR INJECTION 2 ML AMP.
0507574,CNK,2012-09-01,AQUA BIDIST.                               AMP.3ML
0507582,CNK,2012-09-01,EAU POUR INJECTION 5 ML AMP.
0507590,CNK,2012-09-01,EAU POUR INJECTION 10 ML AMP.
0507608,CNK,2012-09-01,EAU POUR INJECTION 20 ML AMP.
0507624,CNK,2012-09-01,AQUA BIDIST. APYR.                       AMP. 50ML
0507632,CNK,2012-09-01,AQUA BIDIST. APYR.                      AMP. 100ML
0507640,CNK,2012-09-01,AQUA BIDIST. APYR.                      AMP. 250ML
0507657,CNK,2012-09-01,AQUA BIDIST. APYR.                      AMP. 500ML
0507673,CNK,2012-09-01,EAU DE CHAUX
0507723,CNK,2012-09-01,EAU: DALIBOUR
0507749,CNK,2012-09-01,LAURIER-CERISE AQUA
0507764,CNK,2012-09-01,OXYGENEE AQUA PB5 3%-10 VOL.
0507822,CNK,2012-09-01,PAMIDRONIQUE DI NA
0507830,CNK,2012-09-01,AQUAPHIL
0507848,CNK,2012-09-01,ARBUTINE
0507871,CNK,2012-09-01,AREC                                      NUX PDR.
0507889,CNK,2012-09-01,ARECOLINE HBR
0507913,CNK,2012-09-01,ARGININE
0507921,CNK,2012-09-01,ARGININE HCL
0507996,CNK,2012-09-01,SORBITANE SESQUIOLEATE
0508002,CNK,2012-09-01,GLYCERYLMONOSTEARATE + PEG STEARATE
0508010,CNK,2012-09-01,ARNICA                                        FLOS
0508036,CNK,2012-09-01,ARNICA                                   EXTR. FL.
0508044,CNK,2012-09-01,TEINTURE D'ARNICA
0508051,CNK,2012-09-01,ARNICA                                    HYDROSOL
0508176,CNK,2012-09-01,AMIDON ARROW ROOT                             PDR.
0508184,CNK,2012-09-01,AS IODURE
0508192,CNK,2012-09-01,ANHYDRIDE ARSENIEUX
0508226,CNK,2012-09-01,ESTRAGON                                     HERBA
0508275,CNK,2012-09-01,ARMOISE                                       FOL.
0508283,CNK,2012-09-01,ARMOISE                                      HERBA
0508317,CNK,2012-09-01,AURONE MALE                                  HERBA
0508341,CNK,2012-09-01,ASE FOETIDE                                   PDR.
0508358,CNK,2012-09-01,ASE FOETIDE                                 TINCT.
0508366,CNK,2012-09-01,ASARET                                       HERBA
0508390,CNK,2012-09-01,ARGININE ASCORBATE
0508408,CNK,2012-09-01,CYSTEINE ASCORBATE
0508416,CNK,2012-09-01,FERRO ASCORBATE
0508424,CNK,2012-09-01,LYSINE DL ASCORBATE
0508440,CNK,2012-09-01,ASCORBATE NA
0508457,CNK,2012-09-01,ASCORBO MONO PHENYLBUTAZONE
0508564,CNK,2012-09-01,ASPARAGINE
0508580,CNK,2012-09-01,ASPERGE                                      RADIX
0508614,CNK,2012-09-01,ASPARTATE CA  DL
0508622,CNK,2012-09-01,ASPARTATE CA L
0508630,CNK,2012-09-01,FERRO ASPARTATE DL
0508648,CNK,2012-09-01,FERRO ASPARTATE L
0508689,CNK,2012-09-01,ASPARTATE K DL HEMIHYDRATE
0508697,CNK,2012-09-01,ASPARTATE K L
0508705,CNK,2012-09-01,LYSINE-L ASPARTATE DL
0508754,CNK,2012-09-01,ASPARTATE MG DL
0508762,CNK,2012-09-01,ASPARTATE MG L
0508770,CNK,2012-09-01,ASPARTATE MG K  DL
0508788,CNK,2012-09-01,ASPARTATE MG K  L
0508796,CNK,2012-09-01,ASPARTATE NA
0508812,CNK,2012-09-01,ASPERULE ODORANTE                            HERBA
0508853,CNK,2012-09-01,ATROPINE METHONITRATE
0508895,CNK,2012-09-01,ATROPINE METHOBROMURE
0508903,CNK,2012-09-01,ATROPINE SULFATE
0508978,CNK,2012-09-01,"ATROPINE SULFATE O,25 MG AMP."
0508986,CNK,2012-09-01,"ATROPINE SULFATE O,50 MG AMP."
0508994,CNK,2012-09-01,ATROPINE SULFATE 1 MG AMP.
0509000,CNK,2012-09-01,ORANGE AMERE                                 CORT.
0509018,CNK,2012-09-01,ORANGER AMER                                  FOL.
0509026,CNK,2012-09-01,ORANGE AMERE                            CORT. ESS.
0509034,CNK,2012-09-01,ORANGE AMERE PB4                   EXTR. FL. CORT.
0509067,CNK,2012-09-01,ORANGE AMERE                           CORT. SPIR.
0509075,CNK,2012-09-01,ORANGE AMERE                       TINCT. CORT PB5
0509083,CNK,2012-09-01,ORANGE AMERE FORT                     TINCT. CORT.
0509117,CNK,2012-09-01,ORANGE DOUCE                            CORT. ESS.
0509125,CNK,2012-09-01,ORANGER AMER                            GEMMA FLOS
0509133,CNK,2012-09-01,ORANGER AMER                           FLOS PETAL.
0509141,CNK,2012-09-01,AURANTII AMARI FLORIS AETHEROLEUM
0509158,CNK,2012-09-01,ORANGER AMER                       FLOS ESS. SYNTH
0509166,CNK,2012-09-01,ORANGER                                 FLOS SPIR.
0509224,CNK,2012-09-01,CELLULOSE DISPERSIBLE
0509257,CNK,2012-09-01,AXONGE
0509281,CNK,2012-09-01,BA SULFATE PR RADIO
0509307,CNK,2012-09-01,BACITRACINE
0509398,CNK,2012-09-01,BALLOTE NOIRE                                HERBA
0509406,CNK,2012-09-01,BALLOTE NOIRE                         ALCOL. STAB.
0509422,CNK,2012-09-01,BALLOTE NOIRE                                EXTR.
0509430,CNK,2012-09-01,BALLOTE NOIRE                            EXTR. FL.
0509448,CNK,2012-09-01,BALLOTE NOIRE (TEINTURE TITREE D'HERBE DE)
0509463,CNK,2012-09-01,ANANAS                                  STIP. PDR.
0509521,CNK,2012-09-01,BAUME OPODELDOCH
0509554,CNK,2012-09-01,BAUME PEROU
0509562,CNK,2012-09-01,BAUME PEROU VAS. TUBE 20G
0509570,CNK,2012-09-01,BAUME TOLU
0509588,CNK,2012-09-01,BAUME TOLU SIR.
0509596,CNK,2012-09-01,BAUME TOLU                EXTR. FL.
0509604,CNK,2012-09-01,TOLU BAUME                                  TINCT.
0509612,CNK,2012-09-01,TRANQUILLE                BAUME PB4
0509620,CNK,2012-09-01,ACECLIDINE HCL
0509638,CNK,2012-09-01,BAMETHAN SULFATE
0509687,CNK,2012-09-01,DIETHYLBARBITURIQUE ACID.
0509703,CNK,2012-09-01,DIETHYLBARBITURIQUE NA
0509729,CNK,2012-09-01,BARDANE                                 RADIX PDR.
0509745,CNK,2012-09-01,BARDANE                                      RADIX
