code,from,to,Fr,Nl
34546,2016-10-01,2017-06-12,mépivacaïne + épinéphrine injection sous-muqueux 20 mg + 10 µg / 1 ml,mepivacaïne + epinefrine injectie submucosaal 20 mg + 10 µg / 1 ml
34538,2016-10-01,,mépivacaïne injection sous-muqueux 30 mg / 1 ml,mepivacaïne injectie submucosaal 30 mg / 1 ml
36103,2016-10-01,,"lévosimendan perfusion 12,5 mg / 5 ml","levosimendan infusie 12,5 mg / 5 ml"
36111,2016-10-01,,alirocumab injection 75 mg / 1 ml,alirocumab injectie 75 mg / 1 ml
36129,2016-10-01,,alirocumab injection 150 mg / 1 ml,alirocumab injectie 150 mg / 1 ml
36137,2016-10-01,,évolocumab injection 140 mg / 1 ml,evolocumab injectie 140 mg / 1 ml
36145,2016-10-01,,"nétupitant + palonosétron oral 300 mg + 0,5 mg","netupitant + palonosetron oraal 300 mg + 0,5 mg"
36152,2016-10-01,,phényléphrine injection/perfusion 500 µg / 10 ml,fenylefrine injectie/infusie 500 µg / 10 ml
36160,2016-10-01,,"olodatérol inhalé 2,5 µg / 1 dos.","olodaterol inhalatie 2,5 µg / 1 dos."
36178,2016-10-01,,budésonide + salmétérol inhalé 120 µg + 20 µg,budesonide + salmeterol inhalatie 120 µg + 20 µg
36186,2016-10-01,,budésonide + salmétérol inhalé 240 µg + 20 µg,budesonide + salmeterol inhalatie 240 µg + 20 µg
33431,2016-10-01,,péthidine injection/perfusion 100 mg / 2 ml,pethidine injectie/infusie 100 mg / 2 ml
34389,2016-10-01,,"Thymi herba oral 59,5 mg","Thymi herba oraal 59,5 mg"
36194,2016-10-01,,"éthinylestradiol + diénogest oral 0,03 mg + 2 mg (I) + placebo oral (II)","ethinylestradiol + diënogest oraal 0,03 mg + 2 mg (I) + placebo oraal (II)"
36210,2016-10-01,,Arctostaphylos uva-ursi oral 400 mg,Arctostaphylos uva-ursi oraal 400 mg
36228,2016-10-01,,"adalimumab injection 40 mg / 0,4 ml","adalimumab injectie 40 mg / 0,4 ml"
5587,2016-10-01,,céfazoline injection/perfusion 2 g,cefazoline injectie/infusie 2 g
16709,2016-10-01,2017-09-18,immunoglobulines anticytomégalovirus injection/perfusion 2 500 U / 50 ml,"immunoglobulinen, anticytomegalovirus injectie/infusie 2 500 E / 50 ml"
34116,2016-10-01,,aflibercept perfusion 200 mg / 8 ml,aflibercept infusie 200 mg / 8 ml
34421,2016-10-01,,canagliflozine + metformine oral 150 mg + 850 mg,canagliflozine + metformine oraal 150 mg + 850 mg
35378,2016-10-01,2017-06-12,"céfuroxime injection 1,5 g","cefuroxim injectie 1,5 g"
30775,2016-10-01,,tobramycine pommade ophtalmique 3 mg / 1 g,tobramycine zalf oculair 3 mg / 1 g
36079,2016-10-01,,cobicistat + elvitégravir + emtricitabine + ténofovir oral 150 mg + 150 mg + 200 mg + 10 mg,cobicistat + elvitegravir + emtricitabine + tenofovir oraal 150 mg + 150 mg + 200 mg + 10 mg
36087,2016-10-01,,"évérolimus oral 2,5 mg","everolimus oraal 2,5 mg"
36095,2016-10-01,,zinc perfusion 10 mg / 10 ml,zink infusie 10 mg / 10 ml
8151,2016-10-01,,dapoxétine oral 30 mg,dapoxetine oraal 30 mg
19646,2016-10-01,2018-03-19,lithium oral 250 mg,lithium oraal 250 mg
2063,2016-10-01,,anétholtrithione oral 25 mg,anetholtrithion oraal 25 mg
9167,2016-10-01,,diénogest oral 2 mg,diënogest oraal 2 mg
17582,2016-10-01,,isosorbide oral 20 mg,isosorbide oraal 20 mg
22269,2016-10-01,,"moxonidine oral 0,3 mg","moxonidine oraal 0,3 mg"
29066,2016-10-01,,sotalol oral 80 mg,sotalol oraal 80 mg
31245,,,,
216,2016-10-01,,acétazolamide injection 500 mg,acetazolamide injectie 500 mg
27078,2016-10-01,2017-06-12,quinapril oral 5 mg,quinapril oraal 5 mg
33191,2016-10-01,,enzalutamide oral 40 mg,enzalutamide oraal 40 mg
32011,2016-10-01,,vélaglucérase alfa perfusion 400 U,velaglucerase alfa infusie 400 E
10488,2016-10-01,,"épinéphrine injection 0,15 mg / 1 dose","epinefrine injectie 0,15 mg / 1 dosis"
7542,2016-10-01,,"codéine oral 4,5 mg / 5 ml","codeïne oraal 4,5 mg / 5 ml"
16352,2016-10-01,,ichtammol pommade cutané 200 mg / 1 g,ichtammol zalf cutaan 200 mg / 1 g
23986,2016-10-01,,ornidazole perfusion 1 g / 6 ml,ornidazol infusie 1 g / 6 ml
32946,2016-10-01,,pomalidomide oral 4 mg,pomalidomide oraal 4 mg
12872,2016-10-01,,filgrastim injection/perfusion 30 MU / 1 ml,filgrastim injectie/infusie 30 ME / 1 ml
12898,2016-10-01,,"filgrastim injection/perfusion 48 MU / 0,8 ml","filgrastim injectie/infusie 48 ME / 0,8 ml"
34165,2016-10-01,,empagliflozine oral 25 mg,empagliflozine oraal 25 mg
16014,2016-10-01,,hydromorphone oral (libér. modifiée) 4 mg,hydromorfon oraal (gereg. afgifte) 4 mg
13300,2016-10-01,,fluorouracil injection/perfusion 5 g / 100 ml,fluorouracil injectie/infusie 5 g / 100 ml
1925,,,,
6783,2016-10-01,,cisplatine perfusion 10 mg / 10 ml,cisplatine infusie 10 mg / 10 ml
25775,2016-10-01,,pirfénidone oral 267 mg,pirfenidon oraal 267 mg
31013,2016-10-01,,torasémide oral 5 mg,torasemide oraal 5 mg
5249,2016-10-01,,carbomère gel ophtalmique 2 mg / 1 g,carbomeer gel oculair 2 mg / 1 g
27086,2016-10-01,,rabéprazole oral 10 mg,rabeprazol oraal 10 mg
18002,2016-10-01,,potassium oral 1 g / 20 ml,kalium oraal 1 g / 20 ml
19489,,,,
30619,2016-10-01,,"tinzaparine injection 10 000 UI anti-Xa / 0,5 ml","tinzaparine injectie 10 000 IE anti-Xa / 0,5 ml"
17020,2016-10-01,,insuline aspart injection/perfusion 100 U / 1 ml,insuline aspart injectie/infusie 100 E / 1 ml
23820,2016-10-01,,omalizumab injection 150 mg / 1 ml,omalizumab injectie 150 mg / 1 ml
35063,2016-10-01,,sécukinumab injection 150 mg / 1 ml,secukinumab injectie 150 mg / 1 ml
21097,2016-10-01,,"méthylnaltrexone injection 12 mg / 0,6 ml","methylnaltrexon injectie 12 mg / 0,6 ml"
24661,2016-10-01,,pantoprazole oral 40 mg,pantoprazol oraal 40 mg
31088,2016-10-01,,trabectédine perfusion 1 mg,trabectedine infusie 1 mg
3244,2016-10-01,,benzoyle peroxyde gel cutané 100 mg / 1 ml,benzoylperoxide gel cutaan 100 mg / 1 ml
8037,2016-10-01,,dabrafénib oral 75 mg,dabrafenib oraal 75 mg
10363,,,,
31955,,,,
20313,2016-10-01,2017-09-29,acide lactique vaginal 5 mg / 1 g,melkzuur vaginaal 5 mg / 1 g
26591,2016-10-01,,propafénone oral 300 mg,propafenon oraal 300 mg
16766,2016-10-01,,immunoglobulines antihépatite B perfusion 5 000 UI,"immunoglobulinen, antihepatitis B infusie 5 000 IE"
35774,2016-10-01,,éthanol solution cutané,ethanol oplossing cutaan
36038,2016-10-01,,"empagliflozine + metformine oral 12,5 mg + 850 mg","empagliflozine + metformine oraal 12,5 mg + 850 mg"
36046,2016-10-01,,"empagliflozine + metformine oral 12,5 mg + 1 g","empagliflozine + metformine oraal 12,5 mg + 1 g"
984,2016-10-01,,aluminium oxyde + siméticone oral 500 mg + 250 mg,aluminiumoxide + simeticon oraal 500 mg + 250 mg
36053,2016-10-01,,"papillomavirus humain de types 6, 11, 16, 18, 31, 33, 45, 52, 58 injection 0,5 ml","humaan papillomavirus types 6, 11, 16, 18, 31, 33, 45, 52, 58 injectie 0,5 ml"
14167,,,,
3517,2016-10-01,,bétaméthasone (dipropionate) + bétaméthasone (phosphate sodique) injection (libér. modifiée) 5 mg + 2 mg / 1 ml [CAVE tool],betamethason (dipropionaat) + betamethason (natriumfosfaat) injectie (gereg. afgifte) 5 mg + 2 mg / 1 ml [CAVE tool]
14985,2016-10-01,,Groupe Becozyme oral,Groep Becozyme oraal
9795,2016-10-01,,donépézil oral 5 mg [CAVE solide/liq.],donepezil oraal 5 mg [CAVE vast/vloeib.]
15966,2016-10-01,,hydromorphone oral (libér. modifiée) 16 mg,hydromorfon oraal (gereg. afgifte) 16 mg
21444,2016-10-01,,métronidazole vaginal 500 mg,metronidazol vaginaal 500 mg
23325,2016-10-01,,norfloxacine oral 400 mg,norfloxacine oraal 400 mg
5454,2016-10-01,,Cassia senna oral 10 mg,Cassia senna oraal 10 mg
30817,2016-10-01,2017-06-12,tobramycine injection/perfusion 80 mg / 2 ml,tobramycine injectie/infusie 80 mg / 2 ml
12286,2016-10-01,,félodipine oral (libér. modifiée) 5 mg,felodipine oraal (gereg. afgifte) 5 mg
18093,2016-10-01,,kétoconazole crème cutané 20 mg / 1 g,ketoconazol crème cutaan 20 mg / 1 g
32805,2016-10-01,,Vitis vinifera oral 360 mg,Vitis vinifera oraal 360 mg
3582,2016-10-01,2019-01-30,"bétaxolol collyre ophtalmique (sans cons.) 0,625 mg / 0,25 ml","betaxolol druppels oculair (zonder bew.) 0,625 mg / 0,25 ml"
14969,2016-10-01,2017-06-12,Groupe Alucid oral,Groep Alucid oraal
3764,2016-10-01,,"bimatoprost collyre ophtalmique (sans cons.) 0,12 mg / 0,4 ml","bimatoprost druppels oculair (zonder bew.) 0,12 mg / 0,4 ml"
15008,2016-10-01,,Groupe Cernevit injection/perfusion,Groep Cernevit injectie/infusie
15255,2016-10-01,2017-06-12,Groupe Sedemol cutané/oropharyngé/oromuqueux,Groep Sedemol cutaan/orofaryngeaal/oromucosaal
15271,2016-10-01,,Groupe Strepsils compr. à sucer. oropharyngé,Groep Strepsils zuigcompr. orofaryngeaal
13250,2016-10-01,,"fluorescéine sodium collyre ophtalmique (sans cons.) 10 mg / 0,5 ml","fluoresceïne natrium druppels oculair (zonder bew.) 10 mg / 0,5 ml"
15016,2016-10-01,,Groupe Cofact haute dose injection/perfusion,Groep Cofact hoge dosis injectie/infusie
15198,2016-10-01,,Groupe Pholco-Mereprine oral,Groep Pholco-Mereprine oraal
4002,,,,
6320,2016-10-01,,chlortétracycline chlorhydrate pommade ophtalmique (sans cons.) 10 mg / 1 g,chloortetracycline hydrochloride oogzalf oculair (zonder bew.) 10 mg / 1 g
6957,,,,
36012,2016-10-01,,empagliflozine + metformine oral 5 mg + 850 mg,empagliflozine + metformine oraal 5 mg + 850 mg
36020,2016-10-01,,empagliflozine + metformine oral 5 mg + 1 g,empagliflozine + metformine oraal 5 mg + 1 g
7872,2016-10-01,,"cyclopentolate chlorhydrate collyre ophtalmique (sans cons.) 2,5 mg / 0,5 ml","cyclopentolaat hydrochloride druppels oculair (zonder bew.) 2,5 mg / 0,5 ml"
14993,2016-10-01,,Groupe Befact Forte oral,Groep Befact Forte oraal
15156,2016-10-01,,Groupe Neutroses oral,Groep Neutroses oraal
15214,2016-10-01,2018-08-30,Groupe Rado-Salil crayon cutané,Groep Rado-Salil stift cutaan
15297,,,,
21113,2016-10-01,,méthylprednisolone injection/perfusion (sans cons.) 125 mg,methylprednisolon injectie/infusie (zonder bew.) 125 mg
24372,2016-10-01,,oxytétracycline + polymyxine B pommade ophtalmique (sans cons.) 5 mg + 10 000 UI / 1 g,oxytetracycline + polymyxine B oogzalf oculair (zonder bew.) 5 mg + 10 000 IE / 1 g
29652,,,,
31096,2016-10-01,,tramadol oral [20 gttes/ml] 100 mg / 1 ml,tramadol oraal [20 dr / ml] 100 mg / 1 ml
33050,2016-10-01,2017-06-12,Groupe Trinovum oral (phase I-III),Groep Trinovum oraal (fase I-III)
33860,2016-10-01,,"estradiol + nomégestrol oral 1,5 mg + 2,5 mg (I) + placebo oral (II)","estradiol + nomegestrol oraal 1,5 mg + 2,5 mg (I) + placebo oraal (II)"
34140,2016-10-01,,Groupe Infanrix Hexa intramusculaire (phase I + II),Groep Infanrix Hexa intramusculair (fase I + II)
34827,,,,
36004,2016-10-01,,alginate + hydrogénocarbonate oral 500 mg + 267 mg / 10 ml,alginaat + waterstofcarbonaat oraal 500 mg + 267 mg / 10 ml
35956,2016-10-01,,vancomycine perfusion/oral 500 mg,vancomycine infusie/oraal 500 mg
35964,2016-10-01,,vancomycine perfusion/oral 1 g,vancomycine infusie/oraal 1 g
35972,2016-10-01,,"codéïne oral éq. 6,6 mg / 5 ml","codeïne oraal eq. 6,6 mg / 5 ml"
7195,2016-10-01,,clomipramine oral 10 mg,clomipramine oraal 10 mg
8714,2016-10-01,,dexaméthasone + néomycine sulfate + polymyxine B sulfate pommade ophtalmique 1 mg + 3 500 UI + 6 000 UI / 1 ml,dexamethason + neomycine sulfaat + polymyxine B sulfaat zalf oculair 1 mg + 3 500 IE + 6 000 IE / 1 ml
8730,2016-10-01,,dexaméthasone + tobramycine pommade ophtalmique 1 mg + 3 mg / 1 g,dexamethason + tobramycine zalf oculair 1 mg + 3 mg / 1 g
35998,2016-10-01,,"propranolol oral (hémangiome) 3,75 mg / 1 ml","propranolol oraal (hemangioom) 3,75 mg / 1 ml"
25411,2016-10-01,,"périndopril + indapamide oral éq. 2 mg + 0,625 mg [CAVE séc.]","perindopril + indapamide oraal eq. 2 mg + 0,625 mg  [CAVE deelb.]"
75,2016-10-01,,abatacept injection 125 mg / 1 ml,abatacept injectie 125 mg / 1 ml
19331,2016-10-01,,lidocaïne injection 10 mg / 1 ml,lidocaïne injectie 10 mg / 1 ml
19372,2016-10-01,,lidocaïne injection 20 mg / 1 ml,lidocaïne injectie 20 mg / 1 ml
35980,2016-10-01,,"défibrotide perfusion 200 mg / 2,5 ml","defibrotide infusie 200 mg / 2,5 ml"
35931,2016-10-01,,liraglutide injection (obésité) 18 mg / 3 ml,liraglutide injectie (obesitas) 18 mg / 3 ml
35899,2016-10-01,,"estrogènes + bazédoxifène oral (libér. modifiée) 0,45 mg + 20 mg","oestrogenen + bazedoxifeen oraal (gereg. afgifte) 0,45 mg + 20 mg"
21246,2016-10-01,,méthylprednisolone acéponate pommade cutané 1 mg / 1 g,methylprednisolon aceponaat zalf cutaan 1 mg / 1 g
32268,2016-10-01,,voriconazole oral 50 mg,voriconazol oraal 50 mg
3053,2016-10-01,,béclométasone inhalé 100 µg / 1 dos.,beclometason inhalatie 100 µg / 1 dos.
5652,2016-10-01,,ceftaroline perfusion 600 mg,ceftaroline infusie 600 mg
20107,2016-10-01,,mébévérine oral 135 mg,mebeverine oraal 135 mg
7450,,,,
25767,2016-10-01,,piracétam oral 800 mg [CAVE séc.],piracetam oraal 800 mg [CAVE deelb.]
32920,2016-10-01,,pomalidomide oral 2 mg,pomalidomide oraal 2 mg
5520,2016-10-01,,céfadroxil oral 250 mg / 5 ml,cefadroxil oraal 250 mg / 5 ml
30197,2016-10-01,,tétrabénazine oral 25 mg,tetrabenazine oraal 25 mg
33993,2016-10-01,,dolutégravir oral 50 mg,dolutegravir oraal 50 mg
35303,2016-10-01,,budésonide rectal 2 mg / 1 dos.,budesonide rectaal 2 mg / 1 dos.
21006,2016-10-01,,méthylphénidate oral 20 mg,methylfenidaat oraal 20 mg
35790,2016-10-01,,pembrolizumab perfusion 50 mg,pembrolizumab infusie 50 mg
28803,2016-10-01,,sirolimus oral 2 mg,sirolimus oraal 2 mg
1396,2016-10-01,,ambrisentan oral 10 mg,ambrisentan oraal 10 mg
2311,2016-10-01,,atazanavir oral 300 mg,atazanavir oraal 300 mg
35576,2016-10-01,,ponatinib oral 15 mg,ponatinib oraal 15 mg
3129,2016-10-01,,bélimumab perfusion 120 mg,belimumab infusie 120 mg
14332,2016-10-01,,"charbon activé gastro-entéral/oral 50 g / 61,5 g","geactiveerde kool gastro-enteraal/oraal 50 g / 61,5 g"
21659,2016-10-01,,mifépristone oral 200 mg,mifepriston oraal 200 mg
26955,2016-10-01,,quétiapine oral 200 mg [CAVE séc.],quetiapine oraal 200 mg [CAVE deelb.]
2386,2016-10-01,,atomoxétine oral 100 mg,atomoxetine oraal 100 mg
12906,2016-10-01,,finastéride oral 5 mg,finasteride oraal 5 mg
17632,2016-10-01,,isotrétinoïne oral 20 mg,isotretinoïne oraal 20 mg
20016,,,,
32888,2016-10-01,,riociguat oral 1 mg,riociguat oraal 1 mg
23424,2016-10-01,,octocog alfa injection 250 UI,octocog alfa injectie 250 IE
12096,2016-10-01,,facteur IX injection 500 UI,factor IX injectie 500 IE
33241,2016-10-01,,toxine botulique type A injection 100 U,botulinetoxine type A injectie 100 E
35188,2016-10-01,,turoctocog alfa injection 1 000 UI,turoctocog alfa injectie 1 000 IE
13219,2016-10-01,,flunitrazépam oral 1 mg,flunitrazepam oraal 1 mg
24562,2016-10-01,,pamidronate perfusion 15 mg / 5 ml,pamidronaat infusie 15 mg / 5 ml
25601,2016-10-01,,pimozide oral 1 mg,pimozide oraal 1 mg
22590,2016-10-01,,naproxène oral 275 mg,naproxen oraal 275 mg
28084,2016-10-01,,"rotavirus, 5 types oral","rotavirus, 5 types oraal"
562,2016-10-01,,acitrétine oral 10 mg,acitretine oraal 10 mg
12922,2016-10-01,,"flavivirus injection 0,25 ml","flavivirus injectie 0,25 ml"
25486,2016-10-01,,"périndopril + indapamide oral éq. 8 mg  + 2,5 mg","perindopril + indapamide oraal eq. 8 mg + 2,5 mg"
35261,2016-10-01,,idélalisib oral 100 mg,idelalisib oraal 100 mg
265,2016-10-01,,acétylcystéine oral 200 mg [CAVE solide/liq.],acetylcysteïne oraal 200 mg [CAVE vast/vloeib.]
16535,,,,
745,2016-10-01,,"aflibercept injection/intravitréen 4 mg / 0,1 ml","aflibercept injectie/intravitreaal 4 mg / 0,1 ml"
760,2016-10-01,,agalsidase bêta perfusion 35 mg,agalsidase bèta infusie 35 mg
174,2016-10-01,,acéclofénac oral 100 mg,aceclofenac oraal 100 mg
182,2016-10-01,,acénocoumarol oral 1 mg,acenocoumarol oraal 1 mg
8409,2016-10-01,,daunorubicine perfusion 20 mg,daunorubicine infusie 20 mg
9399,2016-10-01,,diltiazem oral 60 mg,diltiazem oraal 60 mg
11767,2016-10-01,,étomidate injection 20 mg / 10 ml,etomidaat injectie 20 mg / 10 ml
14779,2016-10-01,,glucosamine oral 400 mg,glucosamine oraal 400 mg
16279,,,,
23887,2016-10-01,,oméprazole oral 40 mg [CAVE séc.],omeprazol oraal 40 mg [CAVE deelb.]
24935,2016-10-01,,paracétamol rectal 500 mg,paracetamol rectaal 500 mg
29140,2016-10-01,2017-12-21,stavudine oral 40 mg,stavudine oraal 40 mg
31765,,,,
612,2016-10-01,,adapalène crème cutané 1 mg / 1 g,adapaleen crème cutaan 1 mg / 1 g
11080,2016-10-01,,erlotinib oral 150 mg,erlotinib oraal 150 mg
27110,2016-10-01,,racécadotril oral 100 mg,racecadotril oraal 100 mg
25908,2016-10-01,,"pneumocoques, 10 types injection","pneumokokken, 10 types injectie"
34173,2016-10-01,2019-01-20,daclatasvir oral 30 mg,daclatasvir oraal 30 mg
35162,,,,
12542,2016-10-01,,fentanyl buccal 200 µg,fentanyl buccaal 200 µg
20552,2016-10-01,,"mésalazine oral (libér. modifiée) 1,2 g","mesalazine oraal (gereg. afgifte) 1,2 g"
29249,2016-10-01,,sufentanil injection/perfusion 50 µg / 10 ml,sufentanil injectie/infusie 50 µg / 10 ml
34108,2016-10-01,,aflibercept perfusion 100 mg / 4 ml,aflibercept infusie 100 mg / 4 ml
4507,2016-10-01,,"buprénorphine injection 0,3 mg / 1 ml","buprenorfine injectie 0,3 mg / 1 ml"
4051,2016-10-01,,bosutinib oral 100 mg,bosutinib oraal 100 mg
6536,2016-10-01,,cilazapril oral 5 mg,cilazapril oraal 5 mg
14878,2016-10-01,,"glycopyrronium injection 0,2 mg / 1 ml","glycopyrronium injectie 0,2 mg / 1 ml"
15834,2016-10-01,,hydrocortisone oral 20 mg,hydrocortison oraal 20 mg
27771,2016-10-01,,rivaroxaban oral 10 mg,rivaroxaban oraal 10 mg
32334,2016-10-01,,xylométazoline nasal 1 mg / 1 ml,xylometazoline nasaal 1 mg / 1 ml
5629,2016-10-01,,céfotaxime injection/perfusion 1 g,cefotaxim injectie/infusie 1 g
7351,2016-10-01,,clorazépate oral 50 mg,clorazepaat oraal 50 mg
18549,2016-10-01,,lanthane oral 1 g,lanthaan oraal 1 g
26344,2016-10-01,,prazosine oral 1 mg,prazosine oraal 1 mg
23374,,,,
31781,,,,
29082,2016-10-01,,spiramycine oral 1 500 000 UI,spiramycine oraal 1 500 000 IE
34082,2016-10-01,,"dextrométhorphane oral 7,33 mg","dextromethorfan oraal 7,33 mg"
34702,2016-10-01,,ivacaftor oral 150 mg,ivacaftor oraal 150 mg
35089,2016-10-01,,fer(III) oral 500 mg,ijzer(III) oraal 500 mg
18341,2016-10-01,,"lactulose oral 3 à 3,5 g / 5 ml","lactulose oraal 3 à 3,5 g / 5 ml"
34934,2016-10-01,,régorafénib oral 40 mg,regorafenib oraal 40 mg
4135,2016-10-01,,brimonidine tartrate collyre ophtalmique 2 mg / 1 ml,brimonidine tartraat druppels oculair 2 mg / 1 ml
4986,2016-10-01,,candésartan oral 16 mg,candesartan oraal 16 mg
5033,2016-10-01,2018-05-17,canrénoate injection/perfusion 200 mg,canrenoaat injectie/infusie 200 mg
9993,2016-10-01,,dropéridol injection 5 mg / 2 ml,droperidol injectie 5 mg / 2 ml
11288,2016-10-01,,estradiol vaginal 10 µg,estradiol vaginaal 10 µg
11189,2016-10-01,,escitalopram oral 15 mg,escitalopram oraal 15 mg
11197,,,,
11213,,,,
67,2016-10-01,,abacavir + lamivudine oral 600 mg + 300 mg,abacavir + lamivudine oraal 600 mg + 300 mg
4010,2016-10-01,,bortézomib injection 1 mg,bortezomib injectie 1 mg
117,2016-10-01,,acamprosate oral 333 mg,acamprosaat oraal 333 mg
836,2016-10-01,,acide alendronique oral 70 mg,alendroninezuur oraal 70 mg
141,2016-10-01,,acébutolol oral 200 mg,acebutolol oraal 200 mg
