@actorNr,@from,Denomination,StreetName,StreetNum,Postcode,City,CountryCode,Language,LegalForm,Building,Phone,Postbox,AuthorisationNr,VatNr,Website
04555,1960-01-01,Consilient Health,Mercer Street Lower,,,Dublin 2,IE,EN,Ltd,Beaux Lane House - 5th Floor,,,,,
05717,1960-01-01,Seacross Pharmaceuticals,Hanover Square,17,,Mayfair London,UK,EN,,Landmark House,,,,,
05719,1960-01-01,Genzyme Therapeutics,"Kingsgate, Cascade Way",4620,,Oxford,UK,EN,Ltd,Business Park South,,,,,
07507,1960-01-01,Epax,Munkedamsveien,35,250,Oslo,NO,EN,,,,,,,
05722,1960-01-01,Clinical Technology Centre,Great Albion Cambridgeshire,,,,UK,EN,,Granta Park,,,,,
00001,1960-01-01,Deckers Division Worldmed,Interleuvenlaan,12,3001,Leuven,BE,NL,NV,,016/400515,,0001H,,
00002,1960-01-01,Janssen Pharmaceutica,Turnhoutseweg,30,2340,BEERSE,BE,NL,NV,,014/605162,,0002H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0403.834.160')])",
00004,1960-01-01,"Sambre Laboratoires,De La",Chaussee de Lodelinsart,183,6060,Gilly,BE,FR,,,,,,,
00005,1960-01-01,Warner Chilcott Pharmaceuticals,Pegasuslaan,5,1831,Diegem,BE,NL,BVBA,,02/7092069,,0005H,,
00006,1960-01-01,Vet Laboratories,Industriepark West,56,9100,St.Niklaas,BE,NL,,,,,,,
00007,1960-01-01,Intra - R.I.T.,Rue du Tilleul,9,1332,Genval,BE,FR,,,,,,,
00009,1960-01-01,"Schieffer,Dr. & C",Avenue des Noisetiers,7,1170,Bruxelles,BE,FR,ECV,,,,,,
00010,1960-01-01,Pcb Brabant,Vandenpeereboomstraat,50,1500,Halle,BE,NL,NV,,,,,,
00011,1960-01-01,Plasma Industries Belgium,De Tyraslaan,109,1120,Neder-Over-Heembeek,BE,NL,CVBA,,02/2646430,,0011H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0462.229.645')])",
00012,1960-01-01,Revogan,Landegemstraat,1,9031,Gent-Drongen,BE,NL,NV,,091/822234,,,,
00013,1960-01-01,Speciphar,Rue Gallait,110,1030,Bruxelles 3,BE,FR,,,,,,,
00014,1960-01-01,Rhone Poulenc Rorer,Bd.Sylvain Dupuis,243,1070,Bruxelles,BE,FR,SA,,02/5294626,3,,,
00015,1960-01-01,Tuypens Lab.,August de Boeckstraat,1,9100,St. Niklaas,BE,NL,NV,,03/7763528,,,,
00016,1960-01-01,Novartis Consumer Health,Medialaan,40,1800,Vilvoorde,BE,NL,NV,,02/2668461,,0016H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0403.097.356')])",
00017,1960-01-01,I.C.M.,Avenue Lord Byron,9,1410,Waterloo,BE,FR,,,,,,,
00018,1960-01-01,GlaxoSmithkline Biologicals,Rue de L'Institut,89,1330,RIXENSART,BE,FR,SA,,02/6562111,,0018H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0440.872.918')])",
00019,1960-01-01,Warner-Lambert (Belgium),Rijksweg,11,2880,Bornem,BE,NL,NV,,02/7229111,,,,
00020,1960-01-01,Prunieres L.,Rue Louis Hap,19,1040,Bruxelles,BE,FR,Ets,,,,,,
00021,1960-01-01,Kottenhof Georges Ets.,Rue des Allies,54,1190,Bruxelles 19,BE,FR,SPRL,,,,,,
00022,1960-01-01,Demoitelle Robert,Rue des Ecoles,9-15,4800,Verviers,BE,FR,,,,,,,
00023,1960-01-01,Norfa Lab.,Rue des Allies,54,1190,Bruxelles 19,BE,FR,SA,,,,,,
00025,1960-01-01,Immuno,Rue E.Feron,153,1060,Bruxelles,BE,FR,SA,,02/5374060,,,,
00024,1960-01-01,"Frantzen W.,Etn",Mechelsesteenweg,317,1800,Vilvoorde,BE,FR,NV,,02/2523049,,,,
00026,1960-01-01,Distrifar,Rue de L'Institut,89,1330,Rixensart,BE,FR,SA,,,,,,
00027,1960-01-01,Upsamedica,Chee de la Hulpe,185,1170,Bruxelles,BE,FR,SA,,02/7269031,,,,
00028,1960-01-01,Omnilabo,Generaal Eisenhowerlaan,19,1030,Brussel,BE,FR,PVBA,,,,,,
00029,1960-01-01,Laboratoires Pharmaceutiques Trenker,Avenue Thomas Edison,32,1402,Thines,BE,FR,SA,,,,0029H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0423.960.076')])",
00030,1960-01-01,Cosima,Boomse Steenweg,542,2610,Wilrijk,BE,NL,PVBA,,,,,,
00031,1960-01-01,Meda Pharma,Chée de la Hulpe,166,1170,Bruxelles,BE,FR,,,02/5040811,77-81,,,
00033,1960-01-01,Cophalux,Avenue de Marlagne,44,5000,Namur,BE,FR,,,,,33H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0426.517.710')])",
00034,1960-01-01,Borgers,Industrieterrein Webbekom,,3290,Diest,BE,NL,NV,,013/213181,,,,
00035,1960-01-01,Equipements Medicaux,Bd. de la Constitution,59,4000,Liege,BE,FR,,,,,,,
00036,1960-01-01,A.P.G.,Kattestraat,46,9300,Aalst,BE,NL,NV,,,,,,
00037,1960-01-01,Pharmathera,Francois Bossaertsstraat,55-57,1030,Brussel,BE,NL,NV,,02/7365381,,,,
00038,1960-01-01,P.C.B.,Oude Markt,35,3000,Leuven,BE,NL,NV,,,,,,
00039,1960-01-01,Caledonia,Rue des Atrebates,84,1040,Bruxelles,BE,FR,SPRL,,,,,,
00040,1960-01-01,Perfecta Lab.,Rue Aux Fleurs,36-38,1000,Bruxelles,BE,FR,SPRL,,,,,,
00041,1960-01-01,Biotrol,Rue Vanderkindere,459,1180,Bruxelles 18,BE,FR,,,,,,,
00042,1960-01-01,Meindersma,Rue de Danemark,35,1060,Bruxelles,BE,FR,,,,,,,
00043,1960-01-01,Belmedis,Moerstraat,58,9031,Gent-Drongen,BE,NL,SA,,09/2822234,,0043H,,
00044,1960-01-01,Beiersdorf,Square Marie Curie,20,1070,ANDERLECHT,BE,NL,NV,,02/5265211,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0406.266.385')])",
00045,1960-01-01,Labova,Teniersstraat,39,9600,Ronse,BE,NL,,,,,,,
00046,1960-01-01,Grospephar,Ch. de Waterloo,528-530,1060,Bruxelles,BE,FR,SA,,,,,,
00047,1960-01-01,Medica,Avenue Sleeckx 41C A,45,1030,Bruxelles,BE,FR/NL,,,,,,,
00048,1960-01-01,Copharm,Fotografielaan,18,2610,Wilrijk,BE,NL,NV,,03/8280016,,,,
00049,1960-01-01,Bipharco,Tervatestraat,103,1040,Brussel,BE,NL,,,,,,,
00050,1960-01-01,Boehringer Mannheim Belgium,Rue des Croix de Guerre,90,1120,Bruxelles,BE,FR,SA,,02/2474747,,,,
00051,1960-01-01,Vedefar,Moeremanslaan,29,1700,DILBEEK,BE,NL,NV,,011/31.26.16,,51H,,
00052,1960-01-01,Organon Belgie,Terhulpsesteenweg,166,1170,Brussel,BE,NL,NV,,02/6635400,,,,
00053,1960-01-01,Du Bled Marcel Ets,Avenue Jean-Jaures,46-50,1030,Bruxelles 3,BE,FR/NL,SPRL,,,,,,
00054,1960-01-01,Clinic Service,Avenue Slegers,377,1200,Bruxelles,BE,FR,SPRL,,02/7717863,,,,
00055,1960-01-01,Sterima,Zonnekensstraat,13,8501,Bissegem,BE,NL,NV,,056/352632,,,,
00056,1960-01-01,Key Pharmaceuticals,Rue des Chesseroux,,4651,Battice,BE,FR,SA,,,,,,
00057,1960-01-01,Visele Lab.,Rue Carli,17,1140,Bruxelles,BE,FR,SPRL,,02/2441664,,,,
00058,1960-01-01,Eli Lilly Benelux,Rue du Marquis,1,1000,BRUSSEL,BE,FR,SA,,0476/555846,,0058H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0406.754.454')])",
00059,1960-01-01,Condrotte M.,Rue de Rocourt,22,4000,Liege,BE,FR,,,,,,,
00060,1960-01-01,"Cochard G.A.,Lab.",Rue Charles Parente,5-7,1070,Bruxelles,BE,FR,,,,,,,
00061,1960-01-01,Boehringer Ingelheim Benelux,Rue des Allies,37,4800,Verviers,BE,FR,,,,,,,
00062,1960-01-01,Kontron,Rue P.Decoster,67,1190,Bruxelles,BE,FR,SA,,,,,,
00063,1960-01-01,Organon Teknika Benelux,Veedijk,58,2300,Turnhout,BE,NL,NV,,014/404508,,,,
00064,1960-01-01,Belgovitad,Rue Moris,44,1060,Bruxelles 6,BE,FR/NL,,,,,,,
00065,1960-01-01,D'Hoore,Stationstraat,34,8020,Oostkamp,BE,NL,,,,,,,
00067,1960-01-01,Laboratoria Wolfs,Westpoort,50-58,2070,ZWIJNDRECHT,BE,NL,NV,,03/2600800,,0067H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0404.812.870')])",
00068,1960-01-01,Lundbeck,Molierelaan,225,1050,Brussel,BE,NL,NV,,02/3402828,,0068H,,
00069,1960-01-01,Bourgeois F.,Rue de la Victoire,112A,1060,Bruxelles,BE,FR,SA,,,,,,
00070,1960-01-01,Gambro Bct Europe,Icaroslaan,28,1930,Zaventem,BE,NL,NV,,02/7150590,,,,
00071,1960-01-01,Wulfing Belgium,Rue de L'Intendant,59,1210,Bruxelles,BE,FR,SA,,,,,,
00073,1960-01-01,Cophax,Square Ambiorix,10,1040,Bruxelles,BE,FR/NL,SA,,,,,,
00074,1960-01-01,Guerbet,Avenue des Communautés,110,1200,SINT-LAMBRECHTS-WOLUWE,BE,FR,SA,,02/7262110,,0074H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0403 054 893')])",
00075,1960-01-01,Boston Scientific Europe,Parc Industriel Petit Rechain,,4800,Petit-Rechain,BE,FR,SA,,087/307711,,,,
00076,1960-01-01,Colin Lab.,Rue Tou du Loup,50,4670,Blegny,BE,FR,SA,,041/874120,,,,
00077,1960-01-01,Vediphar,Rue du Village,17,1402,Thines Lez Nivelles,BE,FR,SA,,,,,,
00078,1960-01-01,Becton Dickinson Benelux,Denderstraat,24,9320,Erembodegem,BE,NL,NV,,053/720211,,,,
00079,1960-01-01,Goossens Freres,Rue de la Sirene,4-6-8,4000,Liege,BE,FR,,,,,,,
00080,1960-01-01,Delforge G.Et Cie,Avenue Paul Deschanel,197,1030,Bruxelles,BE,FR/NL,,,,,,,
00081,1960-01-01,Hospithera,Rue de la Petite Ile,3,1070,ANDERLECHT,BE,FR,SA,,02/5350211,,0081H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0403.015.402')])",
00082,1960-01-01,Michel Marcel,Rue Rogier,9,7000,Mons,BE,FR,,,,,,,
00083,1960-01-01,Labohain,Industriepark West,68,9100,St-Niklaas,BE,NL,NV,,03/7776414,,,,
00084,1960-01-01,Correlative Systems International,Rue General Leman,43-45,1040,Bruxelles,BE,FR/NL,SA,,,,,,
00085,1960-01-01,Overpelt-Plascobel,Kunstlaan,21,1040,Brussel,BE,NL,NV,,0@	Õ °-¢&°,,,,
00086,1960-01-01,S.C.E.P. Soc. De Chim. Et De Pharm.,Avenue des Pagodes,388,1020,Bruxelles 2,BE,FR/NL,,,,,,,
00087,1960-01-01,MSD Vaccines Belgium,Leonardo Da Vincilaan,19,1831,Diegem,BE,NL,NV,,02/7269584,,0087H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0402.506.646')])",
00088,1960-01-01,Terumo Europe,Interleuvenlaan,40,3001,Leuven,BE,NL,NV,,016/239911,,,,
00089,1960-01-01,Sobimex,Sint Jacobsmarkt,9,2000,Antwerpen,BE,NL,NV,,,,,,
00090,1960-01-01,Cooperation Pharmaceutique Du Benelux,Rue de Danemark,70,1060,Bruxelles,BE,FR,,,,,,,
00091,1960-01-01,Eferbe Laboratoires,Avenue des Bergeronnettes,15,1150,Bruxelles,BE,FR,SA,,,,,,
00092,1960-01-01,Omnium Mercur,Jean Jaureslaan,48,1030,Brussel,BE,NL,NV,,02/2458370,,,,
00093,1960-01-01,Gielis-Sandront Mme,Rue des Francais,1,4430,Ans,BE,FR,,,,,,,
00094,1960-01-01,Belgian Shell Cy,Cantersteen,47,1000,Bruxelles,BE,FR,SA,,,,,,
00095,1960-01-01,Diadal,Kloosterstraat,11,1853,Opwijk,BE,NL,NV,,,,,,
00097,1960-01-01,Dogne Ets.,Rue Henri Pirenne,20,4030,Grivegnee,BE,FR,SPRL,,041/437020,,,,
00098,1960-01-01,Mann Lab.,Antwerpsesteenweg,65,2630,Aartselaar,BE,NL,PVBA,,,,,,
00099,1960-01-01,Asphaco,Place Jean Rancy,13,6180,Courcelles,BE,FR,SC,,071/454010,,,,
00100,1960-01-01,Schreurs Cosmetics,Verwilghensingel,38,3500,Hasselt,BE,NL,PVBA,,,,,,
00101,1960-01-01,Baudrihaye,Rue des Allies,35-37,4800,Verviers,BE,FR,Ets,,,,,,
00102,1960-01-01,"Pasteur Du Brabant,Institut",Rue du Remorqueur,28,1040,Bruxelles,BE,FR,,,,,,,
00103,1960-01-01,Belgosanol,Avenue Milcamps,154,1040,Bruxelles,BE,FR/NL,SPRL,,,,,,
00104,1960-01-01,Collchimie,Chaussee de Charleroi,111,1060,Bruxelles,BE,FR,SA,,,,,,
00105,1960-01-01,Pro Sanitate Lab.,Beselarestraat,30,8940,Geluwe,BE,NL,,,056/511422,,,,
00106,1960-01-01,Sanders-Pharma,Chausse de Gand,615,1080,Bruxelles,BE,FR,SA,,02/4640611,,,,
00107,1960-01-01,Dispoplast,Rue du College,55,6200,Chatelet,BE,FR,SPRL,,,,,,
00108,1960-01-01,Office Vaccinogene De L'Etat,Rue Juliette Wytsman,14,1050,Bruxelles,BE,FR,,,,,,,
00109,1960-01-01,Euby,Rue de L'Ourthe,25,4000,Liege,BE,FR,Ets,,,,,,
00110,1960-01-01,Stayne Continental,Zoning Industriel,,6040,Jumet,BE,FR,SA,,,,,,
00111,1960-01-01,Depot Dentaire V.Humblet,Rue du Parc,25,4020,Liege,BE,FR,SA,,,,,,
00112,1960-01-01,Extracorporeal Europe,Chaussée Romaine,,4300,Waremme,BE,FR,SA,Parc Industriel,,,,,
00113,1960-01-01,"Domicent,Lab Du Dr Veterinaire",Rue D'Havre,130,7000,Mons,BE,FR,,,02/5186582,,,,
00114,1960-01-01,Pharmacies Populaires .De Verviers Et Arr.,Rue De Mangombroux,161-173,4800,VERVIERS,BE,FR,SCRL,,087/333141,,0114H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0402.307.894')])",
00115,1960-01-01,"Perneel,Firma",Wollestraat,23,8000,Brugge,BE,NL,,,,,,,
00116,1960-01-01,Promephar,Rubensstraat,80,2300,Turnhout,BE,NL,NV,,014/424941,,,,
00117,1960-01-01,Madaus-Pharma,Chaussée de la Hulpe,166,1170,WATERMAAL-BOSVOORDE,BE,FR,SA,,02/3704777,,,,
00118,1960-01-01,Optima Laboratoires,Grand'Rue Au Bois,78-80,1030,Bruxelles 3,BE,FR/NL,,,,,,,
00119,1960-01-01,Kieffer Jean,Grand'Rue,35-37,6700,Arlon,BE,FR,,,,,,,
00120,1960-01-01,Multipharma,Route de Lennik,900,1070,ANDERLECHT,BE,FR,SCRL,,02/529.92.40,,120H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0401.985.519')])",
00121,1960-01-01,Technicomin,Rue General Capiaumont,76,1040,Bruxelles 4,BE,FR/NL,,,,,,,
00122,1960-01-01,Escouflaire Laboratoires,Rue Delrue,22,7522,Blandain,BE,FR,,,,,,,
00123,1960-01-01,Multipharma,Route de Lennik,900,1070,ANDERLECHT,BE,FR,,,023/5299211,,,,
00124,1960-01-01,Uydens Etienne / Udac,Huybrechtsstraat,6,2060,Antwerpen,BE,NL,,,03/2353811,,,,
00125,1960-01-01,"Depots Dentaires Reunis,Les",Rue des Goujons,152,1070,Bruxelles,BE,FR,,,02/5589965,,,,
00126,1960-01-01,Lohmann & Rauscher Lab.,Rue des Pontons,25,4032,Chenee,BE,FR,SA,,04/3679711,,,,
00127,1960-01-01,Altana Pharma,Lambroekstraat,5C,1831,Diegem,BE,NL,NV,,02/2438310,,,,
00128,1960-01-01,Mephan,Sint Lenaartseweg,48,2320,Hoogstraten,BE,NL,NV,,,4,,,
00129,1960-01-01,Kela (Laboratoria) / Kempisch Laboratorium,Sint Lenaartseweg,48,2320,Hoogstraten,BE,NL,NV,,03/3400411,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0403.835.645')])",
00130,1960-01-01,Sanicalor,Rue des Goujons,152,1070,Bruxelles,BE,FR,SA,,02/5241150,,,,
00132,1960-01-01,"Auxiliaire Transpharma , L'",Midddelweg,90,1130,Bruxelles,BE,FR,SA,,02/7028600,,,,
00133,1960-01-01,Belgospephar,Rue des Allies,68,1190,Bruxelles,BE,FR,SA,,,,,,
00134,1960-01-01,N.E.H. Ets.,Rue Berkendael,109-111,1060,Bruxelles 6,BE,FR,SA,,,,,,
00135,1960-01-01,Zambon,E.Demunterlaan,1,1090,Brussel,BE,NL,NV,,02/7719936,9,0135H,,
00136,1960-01-01,Lph Dolisos,Rue Carli,5,1140,Bruxelles,BE,FR,SA,,02/2481434,,,,
00137,1960-01-01,Laboratoires Belges Pharmacobel,Avenue de Scheut,46-50,1070,Bruxelles,BE,FR,SA,,,,0137H,,
00138,1960-01-01,Squibb,Chee de la Hulpe,185,1170,Bruxelles,BE,FR,SA,,02/6740411,,,,
00140,1960-01-01,Dechra Veterinary Products,Achterstenhoek,48,2275,LILLE,BE,NL,NV,,011/231241,,,"OrderedDict([('@countryCode', 'BE'), ('#text', '0408.216.679')])",
00141,1960-01-01,Koop. Verbond Antwerpen,Sint Bernardsesteenweg,545,2660,Hoboken,BE,NL,,,,,,,
00142,1960-01-01,Soc.Coop.Des Pharmacies Liegeoises,Rue Souverain Pont,4-6,4000,Liege,BE,FR,,,,,,,
00143,1960-01-01,Evers Jean,Rue du 11 Novembre,5,7080,Framerie,BE,FR,,,,,,,
00144,1960-01-01,Dergo,Rue Frans Gailliard,2A,1060,Bruxelles,BE,FR,Ets,,,,,,
00145,1960-01-01,Intradal Productie Belgium,Montenakenweg Z/N,,3800,Sint Truiden,BE,NL,NV,,02/4279985,,,,
00146,1960-01-01,Davet Pharma / Mr Malaise Rene,Rue du Chenet,15,5150,Floriffoux,BE,FR,,,081/445113,,,,
00147,1960-01-01,Triosol,Rue H.Wafelaerts,47,1060,Bruxelles,BE,FR,SPRL,,,,,,
00148,1960-01-01,Office De Nutrition Animale,Avenue de Mai,76,1200,Bruxelles,BE,FR/NL,,,,,,,
00149,1960-01-01,Roussel,Rue Colonel Bourg,155,1140,Bruxelles,BE,FR,SA,,02/7304111,,,,
00150,1960-01-01,Erfa,Rue des Cultivateurs,25,1040,Bruxelles,BE,FR,SA,,02/7377349,,0150H,,
00151,1960-01-01,Sandoz,Chaussee de Haecht,226,1030,Bruxelles,BE,FR,SA,,02/2461611,,,,
00152,1960-01-01,Pharma Logistics,G. Demeurslaan,71,1654,Huizingen,BE,NL,NV,,02/3631570,,152H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0420. 775. 508')])",
00153,1960-01-01,Trophacos,Grote Singel,21,2900,Schoten,BE,NL,,,,,,,
00154,1960-01-01,Dechamps Barnett,Avenue du Lycee Francais,8-11,1180,Bruxelles,BE,FR,Ets,,477424343,,,,
00155,1960-01-01,"S.E.O. D'Ostende, Soc. Coop.",Gentsestraat,6,8400,Oostende,BE,NL,,,,,,,
00156,1960-01-01,Rorer,Place du Champ de Mars,2,1050,Bruxelles,BE,FR,SA,,02/5114288,16,,,
00157,1960-01-01,Asperal Laboratorium,Kapelstraat,12-14,2540,Hove,BE,NL,PVBA,,,,,,
00158,1960-01-01,Dipharma,Chaussee de Nivelles,118-120,6041,Gosselies,BE,FR,SA,,071/256121,,,,
00159,1960-01-01,Cophana,Chemin de la Reconversion,17,7110,Houdeng-Goegnies,BE,FR,SA,,081/730770,,0159H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0401.383.030')])",
00160,1960-01-01,Melisana,Ikaroslaan,53,1930,ZAVENTEM,BE,NL,NV,,02/7251565,,0160H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0448.553.239')])",
00161,1960-01-01,Deprophar,Rue du Sceptre,6,1050,Bruxelles,BE,FR,SPRL,,02/6477963,,,,
00162,1960-01-01,Ballings A,Avenue G Rodenbach,6,1030,Bruxelles 3,BE,FR/NL,,,,,,,
00163,1960-01-01,Zoersel-Pharma,Dorpstraat,17,2980,Zoersel,BE,NL,,,,,,,
00164,1960-01-01,Probel,Rue Gallait,50,1030,Bruxelles 3,BE,FR/NL,,,,,,,
00165,1960-01-01,De Voorzorg,Schijfstraat,51,2800,Mechelen,BE,NL,CV,,015/211335,,0165H,,
00166,1960-01-01,Sanofi Belgium,Leonardo Da Vincilaan,19,1831,Diegem,BE,NL,NV,,02/7105610,,0166H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0464.435.901')])",
00167,1960-01-01,Initial Friswit Hospital Services,Minderhoutsestraat,5,2320,Hoogstraten,BE,NL,NV,,03/3145731,,,,
00168,1960-01-01,Johnson & Johnson Consumer,Antwerpsesteenweg,15-17,2340,BEERSE,BE,NL,NV,,014/649451,,0168H,,0401.955.033
00169,1960-01-01,Monot Lab.,Avenue de La Couronne,378-382,1040,Bruxelles,BE,FR,SA,,,,,,
00170,1960-01-01,B.Braun Medical,Lambroekstraat,5B,1831,Diegem,BE,NL,NV,,02/7255960,,0170H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0407.089.994')])",
00171,1960-01-01,Manuphar,Rue F.Debelder,15-17,1200,Bruxelles,BE,FR,SA,,,,,,
00172,1960-01-01,Bios Coutelier,Route de Lennik,437,1070,Bruxelles,BE,FR,SA,,02/5599200,,,,
00173,1960-01-01,Delattre Hemapurine Lab.,Avenue de la Heronniere,92,1170,Bruxelles,BE,FR,SPRL,,02/6739068,,,,
00174,1960-01-01,Roterpharma,Bosmanslei,35,2000,Antwerpen,BE,NL,,,,,,,
00175,1960-01-01,Alcon-Couvreur,Rue Vanderlinden,46,1030,Bruxelles,BE,FR/NL,SA,,,,,,
00176,1960-01-01,Alcon-Couvreur,Rijksweg,14,2870,Puurs,BE,NL,NV,,03/8902711,,0176H,"OrderedDict([('@countryCode', 'BE'), ('#text', '0402 134 977')])",
00177,1960-01-01,Lipha,Brusselsesteenweg,288,3090,Overijse,BE,NL,NV,,02/6890851,,,,
00178,1960-01-01,Sterilco,Rue des Goujons,152,1070,Bruxelles,BE,FR,SA,,,,,,
00179,1960-01-01,Gausers,Dorp,32,3272,Testelt,BE,NL,PVBA,,,,,,
00180,1960-01-01,Searle Laboratoria,Vaartdijk,112-113,1070,Brussel,BE,NL,NV,,02/5202135,,,,
00181,1960-01-01,General Electric Medical,Rue Marie Curie,37,4431,Loncin,BE,FR,SA,,,,,,
00182,1960-01-01,Roche-Nicholas,Dantestraat,75,1070,Brussel,BE,NL,NV,,02/5258331,,,,
00183,1960-01-01,Eudipharm,Bld St.Michel,61,1040,Bruxelles 4,BE,FR/NL,SA,,,,,,
00184,1960-01-01,Dupont Et Fils,Rue de Bordeaux,21,1060,Bruxelles,BE,FR,Ets,,,,,,
00185,1960-01-01,Notredame Monique Mevr.,Grote Markt,22,8970,Poperinge,BE,NL,,,,,,,
00186,1960-01-01,Marion Merrell,Kolonel Bourgstraat,155,1140,Brusselm,BE,NL,NV,,02/7304111,,,,
00187,1960-01-01,Bayer,J.E. Mommaertslaan,14,1831,Diegem (Machelen),BE,NL,NV,,02/5356300,,0187H,,
